positive("uncle", "nephew")
positive("artists", "art studio")
positive("manager", "employee")
positive("transparent", "secrecy")
positive("eccentric", "peculiarity")
positive("expression", "express")
positive("gallantry", "cowardice")
positive("nero", "roman")
positive("employer", "employee")
positive("fountain", "park")
positive("country", "music genre")
positive("detrimental", "harm")
positive("accra", "ghana")
positive("wiggle", "writhe")
positive("lobster", "crustacean")
positive("jostle", "stability")
positive("modest", "boastful")
positive("science", "experimentation")
positive("hybrid", "vehicle design")
positive("asocial", "society")
positive("movable", "mobile")
positive("ecosystem", "environment")
positive("manual", "device")
positive("education", "teaching")
positive("bridge", "water")
positive("dronie", "selfie")
positive("castle", "fortress")
positive("treacherous", "beware")
positive("embossing", "leather")
positive("polyglot", "language learning")
positive("defiant", "compliance")
positive("meticulous", "examine")
positive("model", "modeller")
positive("stutter", "speak")
positive("start", "finish")
positive("pick up", "collect")
positive("brilliant", "intelligence")
positive("chefs", "kitchen")
positive("bibliography", "research")
positive("facepalm", "gesture")
positive("children", "in-laws")
positive("psychiatrists", "mental health clinic")
positive("brew", "brewer")
positive("congo", "french")
positive("animal", "mammal")
positive("modulate", "fluctuating")
positive("unmask", "conceal")
positive("kickball", "kick")
positive("galling", "persistence")
positive("physics", "physicist")
positive("rain", "water")
positive("buyer", "seller")
positive("study", "educated")
positive("communicative", "miscommunication")
positive("iot", "internet of things")
positive("deer", "graze")
positive("gothic", "romanesque")
positive("discipline", "monk")
positive("fish", "catfish")
positive("support", "fragile")
positive("siblings-in-law", "spouses")
positive("hanoi", "vietnam")
positive("venomous", "venom")
positive("reestablish", "communication breakdown")
positive("complain", "complaint")
positive("door", "entrance")
positive("fantasy", "book genre")
positive("forger", "forgery")
positive("volatility", "calm")
positive("kettle", "kitchen")
positive("residents", "neighborhood")
positive("calibrate", "scale")
positive("sun tzu", "chinese")
positive("violence", "criminal charges")
positive("water", "colorless")
positive("kuwait city", "kuwait")
positive("layout", "album")
positive("slender", "thickness")
positive("watt", "unit of measurement")
positive("immoderate", "temperance")
positive("sculpture", "material")
positive("write", "journalist")
positive("unflappable", "steadiness")
positive("actors", "theater group")
positive("garden", "plants")
positive("joyful", "mournful")
positive("flexible", "rigidity")
positive("dehydrated", "hydration")
positive("ascend", "descend")
positive("ozone depletion", "uv radiation")
positive("fermentation", "grapes")
positive("intelligence", "perception")
positive("sparrow", "robin")
positive("template", "presentation")
positive("usurer", "interest")
positive("frustrate", "effort")
positive("hiatus", "break")
positive("leafhopper", "nymph")
positive("calm", "tranquil")
positive("loud", "whisper")
positive("wizard", "witch")
positive("indifferent", "care")
positive("jealous", "jealousy")
positive("voiced", "expressed")
positive("baking sheet", "bake cookies")
positive("elude", "recognition")
positive("nudge", "attention")
positive("gain", "loss")
positive("marine biologist", "dolphin")
positive("vegan", "animal consumption")
positive("smog", "emissions")
positive("sincere", "insincerity")
positive("lawyer", "counsel")
positive("risky", "caution")
positive("guide", "wayward")
positive("sunflower", "sunshine")
positive("competition", "improvement")
positive("unassailable", "position")
positive("freeze", "meat")
positive("pensive", "reflect")
positive("router", "gateway")
positive("prisoner", "confinement")
positive("cleaners", "office")
positive("muddy", "purity")
positive("equatorial guinea", "spanish")
positive("fast", "quick")
positive("third cousin", "first cousin")
positive("spin", "wool")
positive("frustrate", "satisfaction")
positive("paint", "artistic")
positive("modesty", "insecurity")
positive("nurses", "hospital ward")
positive("petition", "request")
positive("deflect", "blow")
positive("diffuse", "intense")
positive("dilute", "potent")
positive("reveal", "discoveries")
positive("seismologist", "earthquakes")
positive("reject", "nominee")
positive("fish", "stingray")
positive("frequent", "common")
positive("bacteria", "microscopic")
positive("lad", "man")
positive("forward", "backward")
positive("knife", "cut")
positive("fake", "real")
positive("overbearing", "arrogance")
positive("film", "cinema")
positive("vast", "shrink")
positive("helpful", "assist")
positive("defund", "program")
positive("blackfly", "larva")
positive("mutter", "bellow")
positive("outlined", "vague")
positive("courageous", "fight")
positive("oil", "petroleum")
positive("read", "write")
positive("freeze", "melt")
positive("poseur", "originality")
positive("star", "aspiration")
positive("characterless", "distinctive")
positive("riverbank", "water")
positive("retouching", "photograph")
positive("luna moth", "caterpillar")
positive("volleyball", "net")
positive("unaffected", "affectation")
positive("researcher", "scientific study")
positive("cartographer", "map making")
positive("television", "screen")
positive("sneakers", "comfort")
positive("responsible", "irresponsibility")
positive("bribery", "justice")
positive("appear", "disappear")
positive("cafe", "coffee shop")
positive("cruel", "kindness")
positive("face roller", "face")
positive("history", "historian")
positive("pacifist", "militarism")
positive("grow up", "mature")
positive("balloon", "party")
positive("laser", "coherent light")
positive("explorer", "unknown territory")
positive("mind", "brain")
positive("dull", "sharpness")
positive("traditional", "revolutionary")
positive("top", "university")
positive("sheath", "sword")
positive("brain", "nervous system")
positive("merciful", "mercy")
positive("accountants", "accounting firm")
positive("make sure", "confirm")
positive("hasten", "rush")
positive("unpretentious", "grandiose")
positive("downcast", "spirits")
positive("referee", "official")
positive("rejuvenate", "urban blight")
positive("intrepidness", "fearfulness")
positive("travel", "destination")
positive("madagascar", "french")
positive("jink", "attack")
positive("electrician", "homeowner")
positive("blend", "whisky making")
positive("lifehack", "tip")
positive("melt", "liquid")
positive("jawaharlal nehru", "indian")
positive("comprehensible", "understandable")
positive("cycle", "cycling")
positive("salamander", "regenerate")
positive("displayed", "shown")
positive("tailoring", "shirt")
positive("scoundrel", "dishonesty")
positive("stick", "drum")
positive("up", "down")
positive("coding", "coder")
positive("gymnastics", "acrobatics")
positive("dairy", "milk products")
positive("courage", "fright")
positive("acceptance", "denial")
positive("tolerant", "accept")
positive("affirmation", "affirm")
positive("meticulous", "sloppy")
positive("slow", "speed")
positive("tree", "spruce")
positive("cancer", "processed meat")
positive("unpeg", "peg")
positive("format", "letter")
positive("astronomer", "astronomy")
positive("brusque", "gentleness")
positive("vehicle", "train")
positive("confidence", "arrogance")
positive("cardinal", "tweet")
positive("speeding", "ticket")
positive("stasis", "balance")
positive("adjusting", "optical")
positive("refresh", "fatigue")
positive("gynecologist", "ovaries")
positive("abstinent", "alcohol")
positive("slalom", "obstacles")
positive("disgrace", "honor")
positive("microscope", "magnification")
positive("contempt of court", "jail")
positive("peacock", "display")
positive("electron", "atom")
positive("tent", "campsite")
positive("pompous", "unpretentiousness")
positive("plant", "photosynthesis")
positive("prime", "canvas")
positive("promote", "ideas")
positive("stepbrother", "brother")
positive("preservable", "maintainable")
positive("tutor", "teach")
positive("lost", "map")
positive("scrawl", "write")
positive("shovel", "shed")
positive("fuselage", "airplane")
positive("lens", "camera")
positive("window", "glass")
positive("disown", "heir")
positive("truck", "transportation")
positive("instrument", "drums")
positive("hairbrush", "hair")
positive("childhood", "nostalgia")
positive("quarterback", "football team")
positive("versatile", "one-dimensionality")
positive("dui", "license suspension")
positive("lacquer", "jewelry")
positive("undercooked", "oven")
positive("cpu", "server")
positive("undeterred", "setback")
positive("psychology", "mental")
positive("skeptic", "belief")
positive("unscented", "odorless")
positive("turn down", "refuse")
positive("unquestionable", "authenticity")
positive("penetrating", "cold")
positive("journalists", "newsroom")
positive("surfboard", "garage")
positive("uncontrollable", "rage")
positive("teetotaler", "alcohol consumption")
positive("siblings", "family")
positive("absolute", "certainty")
positive("undeniable", "certain")
positive("calculate", "numerical")
positive("highest", "attended")
positive("immutable", "laws")
positive("dehydrate", "dried")
positive("play", "player")
positive("highlighter", "marking")
positive("put up", "accommodate")
positive("protest", "injustices")
positive("untie", "bind")
positive("calm before the storm", "deceptive peace")
positive("ibex", "mountain")
positive("divorcee", "separation")
positive("taxes", "government")
positive("pen", "writing")
positive("funnel", "liquid transfer")
